Address,Price,Link,Bedrooms,Bathrooms,SQFT,Zip_Code,Metro_Area,Address_1,City,State,Last_Sale_Date,Last_Sale_Value,Gross_rent,Description,sales_value,income_value
"59 Neil Drive, Smithtown, NY 11787",849000,https://www.zillow.com/homedetails/59-Neil-Dr-Smithtown-NY-11787/32686828_zpid/,3,2,2200,11787,"New York, NY",59 Neil Drive,Smithtown,NY,2021-11,710000,53568,"MOVE RIGHT IN to this absolutely PRISTINE Smithtown 'Legend Woods' Colonial offering 3 bedrooms, MBR with WIC, 2 full beautifully renovated baths, CUSTOM designed EIK with Double ovens, (all SS appliances), quartz countertops, MARBLE Backsplash, CAC, an amazing finished basement with high ceilings, GORGEOUS WB Fireplace, crown molding throughout, 2.5 car garage, HUGE TREX Deck, 2 patios, firepit, quiet and peaceful, secluded private property situated PERFECTLY at the very end of a Cul-de-Sac !! Many renovations done 2020/2021 DREAMS DO COME TRUE!!! HURRY! Priced to sell quickly... Once you WALK IN YOU WILL FEEL RIGHT AT HOME!!!",815000,980838
"158 Landing Meadow Road, Smithtown, NY 11787",1990000,https://www.zillow.com/homedetails/158-Landing-Meadow-Rd-Smithtown-NY-11787/32689403_zpid/,4,4,3900,11787,"New York, NY",158 Landing Meadow Road,Smithtown,NY,2023-07,825000,90000,This complete renovation is ready for the Buyer's Choices! Now is the time to pick your colors and finishes. This home has been completely redone with no expense spared. Sprawling 1.2 flat acres gives this property the canvas to do so much. Gunite Pool adds to this home's unique features. Completion estimated for 7/15/24.,1200000,2326466
"15 Washington Avenue, Smithtown, NY 11787",1450000,https://www.zillow.com/homedetails/15-Washington-Ave-Smithtown-NY-11787/82661080_zpid/,4,3,3500,11787,"New York, NY",15 Washington Avenue,Smithtown,NY,2020-05,760000,58572,"Welcome To This Stunning Colonial Which Speaks For Itself.. This Open Concept Colonial Boasts A Grand Vaulted Entry With Custom Woodwork ThroughOut.. Gorgeous Wood Floors.. A Huge Chefs Eat In Kitchen  Huge Formal Dining Room, Formal Living Room, An Enormous Den Tastefully Finished With Custom Touches Throughout.. Upstairs Holds Primary Bedroom With A Huge Custom Closet/ Dressing Room, And Brand New Ensuite With Heated Floors.. 3 More Large Bedrooms And A Full Bath.. The Resort Style Backyard Will Blow You Away, Along With A Custom Saltwater Heated Pool With A Grotto and Custom Slide..Mature Trees Give You Plenty Of Privacy On This .60 of an acre Of Property...Sonos Speaker System Throughout The Inside and Outside Of This Home .. Three Unit Central Vac System Included , Even In the Garage..10 Foot Ceiling In The Two Car Garage .. A Full Unfinished Basement Which Includes E-Gress Windows, Water Proofed Walls, With 13 Foot Ceilings.. There Are 2 200 Amp Electrical Boxes Along With A House Generator HookUp, Also Includes A Lightening Protection Hookup.. The Attic Entrance Has A Lift System.. And The Roof Was Just Done in Early 2024 Along With A New Driveway Accented With Beautiful Bluestone Walk Way.. This 3,500 Sq Ft Home is A Must See..!!!   Smithown West Schools.. Close To Parkways..",1500000,1892580
"16 Wyandanch Boulevard, Smithtown, NY 11787",849999,https://www.zillow.com/homedetails/16-Wyandanch-Blvd-Smithtown-NY-11787/32698062_zpid/,5,5,2700,11787,"New York, NY",16 Wyandanch Boulevard,Smithtown,NY,2022-11,800000,76560,"Welcome to Your Dream Home at 16 Wyandanch Blvd  Nestled in the heart of picturesque Smithtown Pines, this stunning property offers the epitome of luxurious suburban living. From its private and serene exterior to its meticulously designed interior, every aspect of this residence exudes elegance and comfort. Lots of natural light and an abundance of storage! Features include a 450 sq ft primary suite with stand alone jacuzzi tub and new bathroom. Updated kitchen, oversized family room, 3 Full baths and 2 additional 1/2 baths.  Full finished basement with separate entrances, there is room for the entire family! Outside is the perfect setting for entertaining with a 48 foot long, heated saltwater pool, and plenty of additional dining space.  Schedule your private tour today and discover the endless possibilities this magnificent property has to offer. Your dream home awaits!",1200000,1979047
"7 Whitney Court, Smithtown, NY 11787",969000,https://www.zillow.com/homedetails/7-Whitney-Ct-Smithtown-NY-11787/32694417_zpid/,4,3,2500,11787,"New York, NY",7 Whitney Court,Smithtown,NY,2022-08,965000,58800,"Welcome home! This is your opportunity to own a stunning 4 Bedroom, 3 bath Colonial on a Cul De Sac in the heart of Smithtown. Step right into this beautiful open concept layout which offers an inviting living room with a wood burning fireplace, oak floors, a bespoke gourmet eat in Kitchen with a center island, built in cabinets, Viking 6 burner stove, Subzero refrigerator, 2 Bosch dishwashers and radiant heat in Kitchen, den and foyer.  Enjoy your meals in a Sun drenched formal dining room which overlooks the private lush property. A spacious family room, 1/2 bath and Laundry room complete the first floor. The second level features 4 Bedrooms and 2 full baths.  Main Bedroom has it's own Private Bath and walk in closet. The finished basement with Egress windows can be used for a gym, office, entertaining or a playroom. Lots of fabulous Closet space throughout the home. Anderson sliding doors throughout the first floor will lead you into a resort style backyard. Featuring a heated high efficiency in ground swimming pool with a relaxing waterfall and a basketball court. CAC throughout, close proximity to Transportation, LIRR, shopping and schools. This GEM is a must see!",1200000,980838
"16 Wildwood Lane, Smithtown, NY 11787",899000,https://www.zillow.com/homedetails/16-Wildwood-Ln-Smithtown-NY-11787/32699780_zpid/,3,3,2810,11787,"New York, NY",16 Wildwood Lane,Smithtown,NY,2019-05,392364,57732,"Magnificent Contemporary Split Level Home, Features Central Air Conditioning recessed lighting, Hardwood Floors 3 Bedrooms 2 Full Bathrooms and a half bathroom. Living room with Gas fireplace, Formal Dining Rm , Eat in Kitchen with plenty of Custom cabinets and counter space & stainless steel appliances. Playroom and Laundry area. OSE in Lower level. Primary Bedroom Suite features full Bathroom with 2 vanities, separate tub and shower and large closet room, and loft area with Balcony. Heated Inground pool with waterfall. Serene Property backs up to the Greenbelt.",600000,746175
"12 Buttonwood Path, Smithtown, NY 11787",949999,https://www.zillow.com/homedetails/12-Buttonwood-Path-Smithtown-NY-11787/142461938_zpid/,4,4,2001,11787,"New York, NY",12 Buttonwood Path,Smithtown,NY,2023-07,510000,70932,"Step into this custom re-built farm style cape with high end finishes. This turnkey residence has undergone a full gut renovation and is just a stone's throw away from the village. Brand new inground heated pool & pool house with wet bar. Boasting 4 bedrooms and 3 bathrooms, the house sits on a quarter-acre of land with an expanded driveway. Open Concept 2,100 sq ft floor plan with finished basement and outside entrance. Custom oversized Andersen windows, sliders giving an abundance of natural light. Enjoy modern amenities white shaker kitchen with gold fixtures complemented by a waterfall quartz island, Thor Appliances, rustic 4"" red oak hardwood flooring, updated Board & Batten and cedar siding, new roof, new 200-amp electric, renovated marble bathrooms with Kohler fixtures.  Primary ensuite with large bathroom and walk in closet giving ultimate privacy. Guest bedrooms with tons of closet space. Cambridge pavers throughout the front and backyard. Close to highway, park, stores. Too much to list!!",600000,916782
"746 N Cherokee Ave, Los Angeles, CA 90038",2195000,https://www.zillow.com/homedetails/746-N-Cherokee-Ave-Los-Angeles-CA-90038/20783536_zpid/,4,3,1633,90038,"Los Angeles, CA",746 N Cherokee Ave,Los Angeles,CA,2017-12,1575000,67584,"Presenting a beautifully renovated Spanish-style gem creatively reenvisioned and situated in the desirable Hancock Park area. Step into this home where classic charm intertwines seamlessly with modern sophistication. Upon arrival, a lush enclosed front yard and inviting porch greet you warmly. Inside, the living area emanates style and comfort with its cozy fireplace. Natural light floods the space through ample windows, illuminating the rich wood floors and tasteful light fixtures throughout. The layout effortlessly connects the living room, dining area, and open kitchen, featuring stainless-steel appliances, bespoke cabinetry, and a charming breakfast nook. The primary bedroom boasts lofty ceilings, dual closets, and a luxurious ensuite bathroom with dual sinks and a sunken tub, while French doors open to the serene backyard oasis. Two additional bedrooms and a beautifully tiled full bathroom complete the interior. Outside, the meticulously maintained backyard hosts the pool and generously-sized spa, creating the perfect space for gatherings. A detached back house offers additional space, featuring a full bathroom and laundry facilities. Located just moments from trendy Larchmont Village and the Wilshire Country Club, with easy access to the vibrant nightlife of Hollywood and West Hollywood, this residence presents an unparalleled opportunity for effortless living and entertaining.",2152221,3686648
"6732 W Hepburn Way, Los Angeles, CA 90038",1695000,https://www.zillow.com/homedetails/6732-W-Hepburn-Way-Los-Angeles-CA-90038/243990629_zpid/,3,4,2346,90038,"Los Angeles, CA",6732 W Hepburn Way,Los Angeles,CA,2018-12,1125000,102972,"This unique home is featured in the April 2023 release of The Montecito Journal, The RIV magazine. Elegance, natural light, and serenity surround this peaceful and private compound in the heart of Hollywood's Media District. Gated and hedged, this newly built three-bedroom residence is designed with incredible attention to details, combining the indoor and outdoor living areas for perfect California living. Featuring an open floorplan, the main level boast 10 ft exposed coffered beam ceilings, a completely custom kitchen and living room with exceptional finishes throughout. The residence features a private rooftop terrace perfect for al fresco dining and enjoying the beautiful Los Angeles sunsets. Attached is a private 2 car garage. Incomparable Hollywood location, located near the best restaurants and shopping in LA!",1400000,3410341
"828 N Hudson Ave APT 106, Los Angeles, CA 90038",749000,https://www.zillow.com/homedetails/828-N-Hudson-Ave-APT-106-Los-Angeles-CA-90038/20789270_zpid/,2,2,1010,90038,"Los Angeles, CA",828 N Hudson Ave APT 106,Los Angeles,CA,2021-09,686000,39576,"Adjacent to Hancock Park and on a quiet street in Hollywood, lies the perfect place to call home.  Nestled in a charming Spanish inspired building this fully upgraded unit features new flooring, recessed lighting, renovated bathrooms, generous walk-in closets in both rooms, an expansive balcony perfect for relaxation, and a new Nex Gen air conditioning (with warranty) to stay comfortable all year long.   Boasting Quartz counters, a new dishwasher, custom cabinetry with accent lighting, and stainless steel appliances for both style and functionality, the kitchen offers plenty of storage and pull out draws for all your chef needs.  Enjoy the beautiful courtyard and rooftop lounge with gorgeous views of Hollywood and the hills and breathtaking sunsets!  No need for a car to enjoy your morning pastries from File Systems Coffee or splurge and treat yourselves at the chic two star Michelin restaurant of Providence!  Just minutes away, add Larchmont Village and Melrose restaurants and shopping and you've landed in the best spot in Hollywood!                              (Low HOA includes EQ insurance.  Unit comes with two side-by-side parking spots, guest parking, and EV chargers for both owners and guests)",550000,501158
