Address,Price,Link,Bedrooms,Bathrooms,SQFT
"56 Ledgewood Drive, Smithtown, NY 11787","$986,000",https://www.zillow.com/homedetails/56-Ledgewood-Dr-Smithtown-NY-11787/32703042_zpid/,4,5,
"87 Grandview Lane, Smithtown, NY 11787","$735,000",https://www.zillow.com/homedetails/87-Grandview-Ln-Smithtown-NY-11787/32703122_zpid/,4,3,"2,871"
"7 Barry Ln, Smithtown, NY 11787","$650,000",https://www.zillow.com/homedetails/7-Barry-Ln-Smithtown-NY-11787/32698357_zpid/,3,3,
"100 Plymouth Boulevard, Smithtown, NY 11787","$589,000",https://www.zillow.com/homedetails/100-Plymouth-Blvd-Smithtown-NY-11787/32693768_zpid/,4,2,
"37 River Heights Drive, Smithtown, NY 11787","$800,000",https://www.zillow.com/homedetails/37-River-Heights-Dr-Smithtown-NY-11787/32694167_zpid/,5,3,"2,368"
"59 Neil Drive, Smithtown, NY 11787","$849,000",https://www.zillow.com/homedetails/59-Neil-Dr-Smithtown-NY-11787/32686828_zpid/,3,2,"2,200"
"158 Landing Meadow Road, Smithtown, NY 11787","$1,990,000",https://www.zillow.com/homedetails/158-Landing-Meadow-Rd-Smithtown-NY-11787/32689403_zpid/,4,4,"3,900"
"15 Washington Avenue, Smithtown, NY 11787","$1,450,000",https://www.zillow.com/homedetails/15-Washington-Ave-Smithtown-NY-11787/82661080_zpid/,4,3,"3,500"
"42 Howell Drive, Smithtown, NY 11787","$629,000",https://www.zillow.com/homedetails/42-Howell-Dr-Smithtown-NY-11787/32695516_zpid/,3,1,
"16 Wyandanch Boulevard, Smithtown, NY 11787","$849,999",https://www.zillow.com/homedetails/16-Wyandanch-Blvd-Smithtown-NY-11787/32698062_zpid/,5,5,"2,700"
"7 Whitney Court, Smithtown, NY 11787","$969,000",https://www.zillow.com/homedetails/7-Whitney-Ct-Smithtown-NY-11787/32694417_zpid/,4,3,"2,500"
"10 Riverview Terrace, Smithtown, NY 11787","$2,850,000",https://www.zillow.com/homedetails/10-Riverview-Ter-Smithtown-NY-11787/32689592_zpid/,5,4,
"74 Cornell Drive, Smithtown, NY 11787","$699,000",https://www.zillow.com/homedetails/74-Cornell-Dr-Smithtown-NY-11787/32698478_zpid/,3,2,
"54 Brooksite Dr, Smithtown, NY 11787","$759,000",https://www.zillow.com/homedetails/54-Brooksite-Dr-Smithtown-NY-11787/32699422_zpid/,4,3,
"237 Old Willets Path, Smithtown, NY 11787","$875,000",https://www.zillow.com/homedetails/237-Old-Willets-Path-Smithtown-NY-11787/32703417_zpid/,4,3,
"7 Windmill, Smithtown, NY 11787","$729,999",https://www.zillow.com/homedetails/7-Windmill-Ct-Smithtown-NY-11787/32679776_zpid/,4,3,
"169 Fifty Acre Road S, Smithtown, NY 11787","$729,000",https://www.zillow.com/homedetails/169-Fifty-Acre-Rd-S-Smithtown-NY-11787/32695916_zpid/,4,2,"2,404"
"42 Willow Ridge Drive UNIT 42, Smithtown, NY 11787","$679,000",https://www.zillow.com/homedetails/42-Willow-Ridge-Dr-42-Smithtown-NY-11787/347713197_zpid/,3,4,"2,738"
"30 Rogers Lane, Smithtown, NY 11787","$699,999",https://www.zillow.com/homedetails/30-Rogers-Ln-Smithtown-NY-11787/32698651_zpid/,4,2,
"16 Parnell Drive, Smithtown, NY 11787","$689,000",https://www.zillow.com/homedetails/16-Parnell-Dr-Smithtown-NY-11787/32698663_zpid/,3,2,
"27 Stony Hill Path, Smithtown, NY 11787","$1,399,000",https://www.zillow.com/homedetails/27-Stony-Hill-Path-Smithtown-NY-11787/32689512_zpid/,4,3,"4,828"
"33 Tanglewood Drive, Smithtown, NY 11787","$599,000",https://www.zillow.com/homedetails/33-Tanglewood-Dr-Smithtown-NY-11787/32709411_zpid/,3,2,
"61 Wildwood Lane, Smithtown, NY 11787","$899,000",https://www.zillow.com/homedetails/61-Wildwood-Ln-Smithtown-NY-11787/32699701_zpid/,4,4,
"12 Amherst Lane, Smithtown, NY 11787","$679,999",https://www.zillow.com/homedetails/12-Amherst-Ln-Smithtown-NY-11787/32698287_zpid/,5,4,
"30 New Mill Road, Smithtown, NY 11787","$975,000",https://www.zillow.com/homedetails/30-New-Mill-Rd-Smithtown-NY-11787/32699281_zpid/,4,4,"3,060"
"39 Spruce Street, Smithtown, NY 11787","$749,000",https://www.zillow.com/homedetails/39-Spruce-St-Smithtown-NY-11787/142445754_zpid/,4,3,
"43 Sandy Hollow Drive, Smithtown, NY 11787","$875,000",https://www.zillow.com/homedetails/43-Sandy-Hollow-Dr-Smithtown-NY-11787/32698505_zpid/,4,3,
"20 Mobrey Lane, Smithtown, NY 11787","$799,000",https://www.zillow.com/homedetails/20-Mobrey-Ln-Smithtown-NY-11787/32703319_zpid/,5,3,"2,300"
"8 Half Acre Ct, Smithtown, NY 11787","$825,000",https://www.zillow.com/homedetails/8-Half-Acre-Ct-Smithtown-NY-11787/32694544_zpid/,4,3,
"45 Dorchester Road, Smithtown, NY 11787","$750,000",https://www.zillow.com/homedetails/45-Dorchester-Rd-Smithtown-NY-11787/32710675_zpid/,4,2,"2,270"
"8 Wyandanch Boulevard, Smithtown, NY 11787","$824,999",https://www.zillow.com/homedetails/8-Wyandanch-Blvd-Smithtown-NY-11787/32698060_zpid/,5,3,
"19 Loft Road, Smithtown, NY 11787","$999,000",https://www.zillow.com/homedetails/19-Loft-Rd-Smithtown-NY-11787/32709002_zpid/,4,2,
"264 N Country Road, Smithtown, NY 11787","$638,000",https://www.zillow.com/homedetails/264-N-Country-Rd-Smithtown-NY-11787/32679658_zpid/,3,2,
"Lot 19 St Nicholas Avenue, Smithtown, NY 11787","$929,990",https://www.zillow.com/homedetails/19-Saint-Nicholas-Ave-Smithtown-NY-11787/2054599182_zpid/,5,3,"3,100"
"6 Fairoaks Lane, Smithtown, NY 11787","$933,000",https://www.zillow.com/homedetails/6-Fairoaks-Ln-Smithtown-NY-11787/32698826_zpid/,5,4,"3,074"
"146 Oakside Drive, Smithtown, NY 11787","$2,999,000",https://www.zillow.com/homedetails/146-Oakside-Dr-Smithtown-NY-11787/32687060_zpid/,6,6,
"16 Wildwood Lane, Smithtown, NY 11787","$899,000",https://www.zillow.com/homedetails/16-Wildwood-Ln-Smithtown-NY-11787/32699780_zpid/,3,3,"2,810"
"12 Buttonwood Path, Smithtown, NY 11787","$949,999",https://www.zillow.com/homedetails/12-Buttonwood-Path-Smithtown-NY-11787/142461938_zpid/,4,4,"2,001"
"106 Redan Drive, Smithtown, NY 11787","$990,000",https://www.zillow.com/homedetails/106-Redan-Dr-Smithtown-NY-11787/59667287_zpid/,4,3,
"1 Grand Street, Smithtown, NY 11787","$668,000",https://www.zillow.com/homedetails/1-Grand-St-Smithtown-NY-11787/32689178_zpid/,4,2,
"47 Holly Drive, Smithtown, NY 11787","$624,900",https://www.zillow.com/homedetails/47-Holly-Dr-Smithtown-NY-11787/32708537_zpid/,4,2,
"746 N Cherokee Ave, Los Angeles, CA 90038","$2,195,000",https://www.zillow.com/homedetails/746-N-Cherokee-Ave-Los-Angeles-CA-90038/20783536_zpid/,4,3,"1,633"
"6732 W Hepburn Way, Los Angeles, CA 90038","$1,695,000",https://www.zillow.com/homedetails/6732-W-Hepburn-Way-Los-Angeles-CA-90038/243990629_zpid/,3,4,"2,346"
"828 N Hudson Ave APT 106, Los Angeles, CA 90038","$749,000",https://www.zillow.com/homedetails/828-N-Hudson-Ave-APT-106-Los-Angeles-CA-90038/20789270_zpid/,2,2,"1,010"
"6519 1/2 La Mirada Ave, Los Angeles, CA 90038","$1,049,000",https://www.zillow.com/homedetails/6519-1-2-La-Mirada-Ave-Los-Angeles-CA-90038/119676531_zpid/,3,3,"1,736"
"707 N McCadden Pl, Los Angeles, CA 90038","$1,995,000",https://www.zillow.com/homedetails/707-N-McCadden-Pl-Los-Angeles-CA-90038/20783599_zpid/,3,3,"2,007"
"1238 N Cahuenga Blvd #1/8, Los Angeles, CA 90038","$599,000",https://www.zillow.com/homedetails/1238-N-Cahuenga-Blvd-1-8-Los-Angeles-CA-90038/2053094220_zpid/,1,1,518
"971 N Saint Andrews Pl, Los Angeles, CA 90038","$1,149,000",https://www.zillow.com/homedetails/971-N-Saint-Andrews-Pl-Los-Angeles-CA-90038/20789679_zpid/,3,2,"2,245"
"859 N Mansfield Ave, Los Angeles, CA 90038","$1,749,000",https://www.zillow.com/homedetails/859-N-Mansfield-Ave-Los-Angeles-CA-90038/20783405_zpid/,5,5,"2,334"
"6521 La Mirada Ave, Los Angeles, CA 90038","$1,219,000",https://www.zillow.com/homedetails/6521-La-Mirada-Ave-Los-Angeles-CA-90038/119677284_zpid/,3,3,"1,900"
"918 1/2 N Ridgewood Pl, Los Angeles, CA 90038","$1,299,000",https://www.zillow.com/homedetails/918-1-2-N-Ridgewood-Pl-Los-Angeles-CA-90038/2054527572_zpid/,3,4,"2,353"
"758 N Cherokee Ave, Los Angeles, CA 90038","$1,199,000",https://www.zillow.com/homedetails/758-N-Cherokee-Ave-Los-Angeles-CA-90038/20783538_zpid/,3,2,"1,650"
